Drink Name,Small Size Calories,Big Size Calories
Signature Boba Smoothie,538,706
Strawberries-Cream Smoothie,464,578
Strawberry Frui-Tea,159,221
Strawberry Milk Tea,386,530
Taro Milk Tea,621,791
Taro Smoothie,576,805
Thai Milk Slush,484,641
Thai Milk Tea,352,476
Tropical Cha-rge,Not Available,288
Tropical Frui-Tea,191,244
Watermelon Frui-Tea,181,229
Watermelon Slush,348,367
Peach Frui-Tea,155,193
Premium Boba Milk Tea,269,568
Apple Frui-Tea,166,241
Taichi Supreme Milk Tea,410,543
Assam,120,139
Watermelon Cha-rge,Not Available,298
Brown Sugar Boba Milk,229,327
Mango Slush,405,452
Brown Sugar Boba Milk,229,327
Signature Cold Brew,Not Available,32
Brown Sugar Boba Milk Tea,229,327
Jasmine,120,139
Chocolate Delight Milk Tea,303,397
Coconut Milk Tea,401,577
Cold Brew Mousse Topper,Not Available,185
Cookies-Cream Smoothie,552,672
Cookies-Cream Smoothie,552,672
Cranberry Frui-Tea,191,235
Chocolate Smoothie,361,478
Cranberry Slush,394,412
Grapefruit Frui-Tea,207,268
Guava Frui-Tea,191,239
Guava Grapefruit Slush,361,456
Hazelnut Milk Tea,299,420
Honeydew Frui-Tea,180,221
Honeydew Milk Tea,385,534
Lemon Frui-Tea,226,328
Lychee Frui-Tea,168,213
Lychee Green Tea with Lychee Jelly,238,313
Lychee Slush,322,340
Mango Frui-Tea,232,278
Mango Milk Tea,390,508
Mango Slush with Mousse,424,560
New Drink Name,123,456
Matcha Latte Milk Tea,413,533
Matcha Smoothie,404,509
Oolong,120,139
Passionfruit Frui-Tea,231,275
Passionfruit Slush,348,367
Peach Green Tea with Strawberry Popping Pearls,228,297
Peach Slush,344,363
Pomegranate Frui-Tea,203,257
Premium,121,140
Premium Milk Tea,297,403
