Category,Drink Name,Small Size Drink Calories,Medium Size Drink Calories,Big Size Drink Calories
seasonal,Oreo Chocolate,525,,650
seasonal,Oreo Caramel Chocolate,580,,733
seasonal,Oreo Vanilla Chocolate,582,,694
seasonal,Smashed Taro Milk,,460,
seasonal,Smashed Taro Tapioca Milk,,460,
seasonal,Smashed Taro QQ Milk,,460,
seasonal,QQ Milk Tea,379,,647
seasonal,QQ Black Tea Latte,270,,558
seasonal,Thai Bubble Tea,595,,827
seasonal,Thai Milk Tea,472,,503
seasonal,Peach Green Tea,460,,640
seasonal,Peach Kefir,460,,640
seasonal,Peach Smoothie,460,,640
seasonal,Berry Party,169,,278
seasonal,Berry Sparkle,,387,
seasonal,Berry Lovers,301,,461
seasonal,Berry Smoothie,45,,537
milk-tea,Signature Bubble Tea,414,,654
milk-tea,Classic Milk Tea,249,,517
milk-tea,Taro Milk Tea,305,,512
milk-tea,Jasmine Milk Tea,270,,535
milk-tea,Lava Pearl Milk Tea,,472,
milk-tea,Lava Pearl Jasmine Milk Tea,,546,
milk-tea,Caramel Milk Tea,315,,605
milk-tea,Vanilla Milk Tea,315,,575
fruit-tea,Mango Green Tea,70,,377
fruit-tea,Bubble Gaga,95,,596
fruit-tea,Passionfruit Black Tea,61,,426
fruit-tea,Passionfruit Green Tea,61,,426
fruit-tea,Lemon Green Tea,45,,377
fruit-tea,Lemon Black Tea,45,,537
fruit-tea,Honey Aloe Vera,221,,258
fruit-tea,Lemon Aloe Vera,230,,267
fruit-tea,Grapefruit Green Tea,88,,318
fruit-tea,Lemon Dunk,60,,565
fruit-tea,Lemon Winter Melon Tea,236,,346
yakult,Mango Yakult,175,,378
yakult,Grapefruit Yakult,116,,467
yakult,Lemon Yakult,106,,521
yakult,Green Tea Yakult,141,,406
slush-smoothie,Mango Slush,245,,574
slush-smoothie,Taro Slush,256,,613
slush-smoothie,Passionfruit Mango Slush,106,,547
slush-smoothie,Matcha Smoothie,391,,437
slush-smoothie,Mango Smoothie,190,,523
tea-latte,Black Tea Latte,140,,378
tea-latte,Okinawa Black Sugar Latte,268,,459
tea-latte,Matcha Latte,180,,391
tea-latte,Lava Pearl Latte,,396,
tea-latte,Lava Pearl Matcha Latte,,472,
tea-latte,Red Bean Matcha Latte,298,,607
cloud,Cloud Black Tea,135,,441
cloud,Cloud Green Tea,135,,441
fresh-tea,Green Tea,19,,211
fresh-tea,Black Tea,19,,262
fresh-tea,Winter Melon Tea,151,,227
tapioca-milk,Tapioca Milk,434,,634
tapioca-milk,Red Bean Tapioca Milk,434,,634
tapioca-milk,Grass Jelly Tapioca Milk,434,,634
seasonal,Hoji Milk Tea,368,502
seasonal,Hoji Cha,104,154
seasonal,Peach Honey Jello,460,640
milk tea,2 Ladies Milk Tea,254,460
milk tea,3 Guys Milk Tea,309,545
