,Topping,Kcal,Saturated Fat / g,Sodium / mg,Carbs / g,Sugar / g,Vegetarian Foods,Allergen,
Topping,Pearl,276,0,32,69,23.4,Vegan,-,
Topping,Mini Pearl,276,0,32,69,23.4,Vegan,-,
Topping,Pudding,102,1,6,23,19.3,Lacto Vegetarian,Milk,
Topping,Herb Jelly,73,0,112,18,17,Vegan,-,
Topping,Aiyu Jelly,111,0,2,27.4,27.3,Vegan,-,
Topping,Lychee Jelly,236,0,112,59,50.4,Vegan,Tree Nuts,
Topping,Aloe Vera,77,0,7,19,19,Vegan,-,
Topping,Red Bean,154,0,12,34,16.8,Vegan,-,
Topping,Crystal Boba,108,0,36,26,22,Vegan,-,
Topping,Ice Cream,139,4.9,53,17,13.1,Lacto Vegetarian,Milk,
Topping,Creama,253,13.2,385,20,9.5,Lacto Vegetarian,Milk,
